cpf,nome,segmento,qtd_cont,vlr_total_div,max_dias_atraso
42006925890,Bryan Campos,Van Gogh,10,5000,60
34366343878,Juan Moura,Private,5,2000,30
72388905850,Ana Sophia da Cruz,Van Gogh,1,2293,28
85044167398,Marina Moraes,Especial,7,2685,42
86406862031,Marcos Vinicius Cardoso,Van Gogh,13,9173,50
84634445204,Samuel Ferreira,Private,7,9668,4
43467189571,Luiz Miguel Melo,Van Gogh,15,9201,16
21573531600,Cecília Porto,Especial,5,7879,12
96285056706,Lucas Alves,Especial,9,3822,59
91103415018,Maria Clara Aragão,Van Gogh,8,7833,76
28830205400,Marcos Vinicius Martins,Especial,11,3977,42
14803382220,Benjamin Rocha,Private,17,6754,19
85711542958,Gustavo Oliveira,Van Gogh,5,9918,46
31902562844,Luiz Fernando da Paz,Especial,13,7429,6
02928882790,Noah Farias,Select,15,6260,31
33798763569,Davi Luiz Rocha,Select,20,6037,44
51073755886,Maria da Cunha,Van Gogh,7,9486,49
04226352513,Noah Correia,Private,9,2296,42
89003276234,Ana Sophia Silva,Select,18,5731,35
25399998750,Agatha Azevedo,Select,17,5398,70
83329514027,Isadora Campos,Select,19,4419,53
76131104867,Emanuel Castro,Especial,13,2582,71
80747947171,Marcos Vinicius Melo,Private,14,1910,47
53864878683,Antônio Campos,Private,15,1415,52
62862907375,Maria Eduarda Moreira,Especial,1,1718,54
24264764866,Yago da Cunha,Private,9,6748,11
40918387825,Murilo da Conceição,Select,2,6467,79
16681342418,Vitória Viana,Especial,4,7848,15
32483692990,Gabriel Azevedo,Private,17,9506,39
33729375547,Ana Laura Porto,Select,9,5545,16
88656405705,Lucca Souza,Private,4,6293,50
36198378217,Isis Silva,Especial,6,6684,9
72856829694,Manuela da Conceição,Private,15,4993,45
02932330713,Igor Ferreira,Select,12,4809,4
07502523839,Ana Luiza Fogaça,Select,12,2474,41
92117366848,Thales Mendes,Van Gogh,2,6733,48
48234148885,Samuel Lopes,Private,15,4801,33
09050904971,Marcos Vinicius Campos,Van Gogh,15,8308,80
35963907020,Vitor Gabriel Costa,Private,6,2952,11
46138563379,Lucas Gabriel das Neves,Especial,12,2880,49
82163867617,Laís Gomes,Especial,3,2810,40
72417332582,Mirella Aragão,Private,10,1295,79
06078372840,Valentina Souza,Especial,11,3045,62
29710158660,Natália Mendes,Select,1,6762,69
57520682315,Diego Souza,Especial,20,2735,29
84131864983,Luiz Fernando Moreira,Select,17,1257,88
26051547690,Thomas Pinto,Private,6,7143,18
36687446290,Helena Castro,Especial,12,9494,49
43721759818,Kamilly Castro,Van Gogh,10,6061,74
39597758490,Isabelly Nogueira,Select,11,6680,39
